Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,102.25,-61.63,0.0,bottom
C2,1uF,C_0402_1005Metric,98.88,-58.59,270.0,bottom
C3,20pF,C_0402_1005Metric,100.61,-94.5,180.0,bottom
C4,20pF,C_0402_1005Metric,100.61,-88.96,0.0,bottom
C5,100nF,C_0402_1005Metric,117.71,-91.9,180.0,bottom
C6,1uF,C_0402_1005Metric,115.07,-85.915,180.0,bottom
C7,100nF,C_0402_1005Metric,103.3,-86.75,0.0,bottom
C8,100nF,C_0402_1005Metric,117.71,-90.799999,180.0,bottom
C9,10uF,C_0402_1005Metric,114.619999,-83.25,90.0,bottom
C10,1uF,C_0402_1005Metric,115.07,-84.8,180.0,bottom
C11,100nF,C_0402_1005Metric,112.419999,-83.25,90.0,bottom
C12,100nF,C_0402_1005Metric,112.14,-94.06,270.0,bottom
C13,100nF,C_0402_1005Metric,113.52,-83.25,90.0,bottom
C14,100nF,C_0402_1005Metric,108.54,-83.25,90.0,bottom
C15,100nF,C_0402_1005Metric,117.71,-89.7,180.0,bottom
C16,100nF,C_0402_1005Metric,103.3,-87.85,0.0,bottom
C17,100nF,C_0402_1005Metric,108.54,-94.06,270.0,bottom
C18,100nF,C_0402_1005Metric,102.26,-78.6,180.0,bottom
C19,100nF,C_0402_1005Metric,121.31,-78.6,180.0,bottom
F1,500mA,Fuse_0805_2012Metric,104.9,-59.06,270.0,bottom
K1,Hall_Sensor,SOT-23,100.0125,-70.64375,270.0,bottom
K2,Hall_Sensor,SOT-23,119.0625,-70.64375,270.0,bottom
LED1,MX_SK6812MINI-E,LED_MX_6028R-ROT,100.0125,-75.72375,0.0,bottom
LED2,MX_SK6812MINI-E,LED_MX_6028R-ROT,119.0625,-75.72375,0.0,bottom
Q1,AO3401A,SOT-23,103.3,-82.8,180.0,bottom
R1,1k,R_0402_1005Metric,103.3,-85.6,180.0,bottom
R2,27,R_0603_1608Metric,118.28,-88.35,0.0,bottom
R3,27,R_0603_1608Metric,118.28,-86.725,0.0,bottom
R4,1k,R_0402_1005Metric,129.3,-91.9,270.0,bottom
R5,5.1k,R_0402_1005Metric,108.0,-55.9,180.0,bottom
R6,5.1k,R_0402_1005Metric,111.1,-55.9,0.0,bottom
R7,1k,R_0402_1005Metric,103.74,-90.56,90.0,bottom
R8,10k,R_0402_1005Metric,106.47,-82.36,90.0,bottom
R9,10k,R_0402_1005Metric,99.8,-82.3,270.0,bottom
U1,RP2040,RP2040-QFN-56,109.5375,-88.74375,90.0,bottom
U2,SRV05-4,SOT-23-6-routable,109.5375,-59.53125,0.0,bottom
U3,XC6206PxxxMR,SOT-23,101.79,-59.06,180.0,bottom
U4,W25Q32JVSS,SOIC-8_5.23x5.23mm_P1.27mm,121.45,-95.805,0.0,bottom
USB1,USB_C_12P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,109.5375,-50.00625,180.0,bottom
Y1,XTAL,Crystal_SMD_3225-4Pin_3.2x2.5mm,101.4,-91.73,90.0,bottom
